p
23437.49021
21612.39837
-6323.267584
42584.50005
44657.23444
46683.71094
46171.1875
20810.49611
22312.52544
33005.31247
37321.4844
45439.32807
-3808.960663
47292.27345
22457.51757
45757.00779
46958.71094
42971.61333
24825.80473
23088.16994
21983.93546
47401.2266
45478.69142
-31259.91021
36538.4453
24092.09378
23249.07029
21448.53913
-6965.229042
41705.82809
43806.39839
45861.56637
45382.3203
20657.73833
22139.06839
32625.83981
36827.82028
44549.3906
-4477.994135
46430.85156
21552.41407
44901.47663
46133.43746
42320.25387
24604.73445
22899.76563
21813.67967
46577.83594
44682.36335
-31491.52335
35670.90228
23889.0781
23060.65818
21284.68545
-7607.170946
40827.18754
42955.58199
45039.44531
44593.4688
20504.98046
21965.61914
32246.3789
36334.16802
43659.47663
-5147.007849
45569.45308
20647.3359
44045.97274
45308.19529
41668.91408
24383.67187
22711.36334
21643.42966
45754.46088
43886.05858
-31723.1289
34803.38671
23686.0684
22872.24414
21120.83199
-8249.113254
39948.53909
42104.76559
44217.32415
43804.625
20352.22846
21792.16797
31866.91799
35840.51556
42769.57026
-5816.021968
44708.05471
19742.26169
43190.46884
44482.95311
41017.57418
24162.61132
22522.9648
21473.17974
44931.09383
43089.74997
-31954.73444
33935.87499
23483.05859
22683.82422
20956.97274
-8891.074206
39069.87108
41253.92974
43395.17969
43015.75779
20199.46877
21618.71294
31487.44137
35346.85155
41879.63279
-6485.055643
43846.62887
18837.15819
42334.93364
43657.68754
40366.21878
23941.54105
22334.55857
21302.92578
44107.70307
42293.4219
-32186.35164
33068.33196
23280.04301
22495.41018
20793.11907
-9533.016616
38191.22658
40403.11334
42573.05863
42226.91024
20046.71484
21445.26167
31107.98046
34853.19919
40989.72267
-7154.069864
42985.23049
17932.08195
41479.42974
42832.44141
39714.87503
23720.47847
22146.1582
21132.67384
43284.33592
41497.11723
-32417.95698
32200.81841
23077.03128
22306.99219
20629.26165
-10174.97747
37312.55858
39552.27343
41750.91407
41438.04304
19893.95697
21271.80664
30728.5078
34359.53518
40099.7852
-7823.103538
42123.80861
17026.98048
40623.89838
42007.17188
39063.51557
23499.41022
21957.75389
20962.41805
42460.94141
40700.78906
-32649.57032
31333.27731
22874.0156
22118.58007
20465.40818
-10816.91988
36433.91408
38701.46088
40928.79686
40649.19924
19741.20315
21098.35547
30349.04487
33865.88282
39209.87893
-8492.117151
41262.41023
16121.90434
39768.39064
41181.92971
38412.17578
23278.34957
21769.3516
20792.16601
41637.5781
39904.4844
-32881.17577
30465.76367
22671.00387
21943.01556
20314.83792
8155.816436
5321.60886
39151.71483
40588.99608
39371.19532
20477.49413
19417.01756
23378.54885
37797.53914
37394.18356
32121.5313
10749.36133
36859.48445
37691.43362
40071.36333
40236.98826
38308.37105
19122.08592
20196.74414
20225.08403
40445.02734
38627.73053
-21432.61327
38727.39451
21771.87885
20164.96882
-12100.82324
13396.4424
37084.35938
38861.17583
37485.63282
19022.48435
19893.18163
23369.20121
38896.21878
36961.61721
24411.20704
38820.83977
-23373.29687
38371.55469
37382.66413
38999.03913
30167.2969
20435.31638
18971.36326
29860.29694
39542.82031
19386.73435
38020.51564
37376.19139
21600.73627
20015.09384
-12742.78419
34449.24215
37927.91017
37696.34768
37035.73047
18887.82617
19747.02731
23171.17376
38376.01562
37744.51951
37244.63668
38252.75001
-23837.45119
36702.89841
39777.97659
38529.66799
29862.21877
20281.18748
18837.05656
29554.1621
37594.35941
18540.08586
36565.02336
36909.98827
21429.59956
19865.22657
-13384.7266
33922.89059
37523.82809
33190.7969
37092.63672
18763.00592
19475.84767
21981.57033
37641.1055
37345.19526
22526.04691
37962.51174
11016.42292
36312.25001
36065.67582
36086.73055
25570.35157
20200.48445
20307.49216
24039.76945
37657.96476
7817.682651
37173.83594
34168.91803
21258.459
19715.35737
-14026.66891
24489.09385
36940.63665
36609.57029
36135.94917
18618.51951
19454.72657
22775.13476
37335.64061
36667.75779
31719.4434
37539.79691
-24765.73633
36969.25002
35516.16796
37590.95702
29252.07812
19972.94335
18568.44916
28941.90629
36468.1367
16846.84378
36173.41804
35977.6172
21087.31641
19565.48442
-14668.63087
19478.65629
36108.74614
36262.92186
34468.86718
18452.58199
19557.64258
23572.13675
33297.28127
35789.39447
-30130.96682
36087.6445
-23399.05085
35899.8984
36597.96087
35183.86725
27475.99607
29598.0645
18631.16801
26104.23238
37275.00003
10702.86521
35635.85163
30541.20904
20916.1797
19415.61725
-29299.61515
31764.82231
34935.05469
37708.82809
36117.35938
18530.25004
19733.26373
20141.4297
35534.96476
35510.23051
-33431.87501
35925.55085
2257.833284
33126.4766
36681.38671
35671.31639
20568.16025
24445.17189
18592.37695
20957.17975
33195.07423
-1931.023783
35560.99221
23370.36716
20745.03712
19265.74217
-15577.73539
30854.99413
34027.98053
36182.83985
36468.42193
18613.99606
19828.65817
27872.12505
30837.93748
34324.31643
-13476.91989
36294.77337
9602.597709
35133.86721
36586.72657
34677.32422
21720.75978
20403.27539
19546.17583
